code,R,F,M,Àà±ð
971,13,1,161,4
972,78,1,32,1
973,37,1,110,1
974,170,1,163,3
975,148,1,153,3
976,173,1,171,3
977,109,1,149,3
978,73,1,97,1
979,170,1,107,7
980,92,1,34,1
981,0,2,82,2
982,73,1,87,1
983,170,1,84,7
984,144,1,121,3
985,16,1,149,4
986,132,1,145,3
987,170,1,152,3
988,146,1,144,3
989,122,1,258,0
990,15,1,149,4
991,18,1,225,4
992,73,1,33,1
993,170,1,31,7
994,132,1,201,0
995,143,1,49,7
996,159,1,262,0
997,24,1,217,4
998,38,1,244,4
999,160,1,87,7
1000,157,1,89,7
1001,132,1,117,3
1002,133,1,165,3
1003,91,1,117,3
1004,104,1,131,3
1005,94,1,118,3
1006,35,1,199,4
1007,73,1,251,4
1008,118,1,119,3
1009,73,2,89,2
1010,98,1,144,3
1011,170,1,73,7
1012,19,1,30,1
1013,133,1,109,3
1014,38,1,144,4
1015,14,2,145.5,2
1016,170,1,64,7
1017,70,1,149,4
1018,159,1,224,0
1019,160,1,260,0
1020,152,1,82,7
1021,162,1,204,0
1022,112,1,259,0
1023,37,1,94,1
1024,163,1,256,0
1025,37,1,34,1
1026,133,1,54,7
1027,164,1,65,7
1028,170,1,87,7
1029,170,1,82,7
1030,133,1,128,3
1031,118,1,149,3
1032,162,1,198,0
1033,170,1,242,0
1034,73,1,211,4
1035,170,1,30,7
1036,158,1,72,7
1037,92,1,94,3
1038,9,1,65,1
1039,170,1,189,0
1040,152,1,157,3
1041,170,1,241,0
1042,167,1,124,3
1043,14,1,79,1
1044,165,1,63,7
1045,170,1,40,7
1046,71,1,247,4
1047,163,1,228,0
1048,163,1,60,7
1049,37,1,94,1
1050,131,1,170,3
1051,73,1,44,1
1052,168,1,190,0
1053,170,1,79,7
1054,131,1,41,7
1055,133,1,209,0
1056,51,1,161,4
1057,154,1,46,7
1058,170,1,79,7
1059,167,1,247,0
1060,14,1,34,1
1061,133,1,230,0
1062,34,1,89,1
1063,2,2,99,2
1064,17,1,49,1
1065,85,1,212,4
1066,167,1,65,7
1067,133,1,193,0
1068,11,2,188,2
1069,7,2,37.5,2
1070,167,1,100,7
1071,10,1,36,1
1072,37,1,94,1
1073,100,1,202,0
1074,152,1,82,7
1075,14,3,121.6666667,6
1076,170,1,64,7
1077,60,1,144,4
1078,110,1,149,3
1079,132,1,106,3
1080,14,1,200,4
1081,133,1,87,7
1082,170,1,34,7
1083,73,1,108,1
1084,170,1,66,7
1085,155,1,82,7
1086,24,1,166,4
1087,39,1,201,4
1088,72,1,87,1
1089,14,1,226,4
1090,153,1,111,3
1091,57,1,135,1
1092,73,1,178,4
1093,106,1,183,3
1094,73,2,159,2
1095,165,1,87,7
1096,133,1,225,0
1097,73,1,31,1
1098,9,1,134,1
1099,93,1,58,1
1100,33,1,118,1
1101,17,2,123,2
